latitude,longitude,date,depth,temperature,salinity,chl_ctd,pc_ctd,cdom_ctd,chl_a676,
41.3200,-71.4210,2019-05-22 19:44:59.0,5,13.4309,31.3542,0.3751,0.0640,2.1672,2.1816
41.2825,-71.4210,2019-05-22 19:55:32.0,5,13.1200,31.4493,0.4053,0.1281,1.7609,2.2807
41.2518,-71.4201,2019-05-22 20:05:33.0,5,13.2860,31.4078,0.3267,0.0000,2.7090,2.2342
41.2210,-71.4198,2019-05-22 20:15:33.0,5,13.4242,31.3747,0.4295,0.0854,1.9414,2.1744
41.1905,-71.4210,2019-05-22 20:25:34.0,5,13.1448,31.2637,0.4114,0.0854,2.1221,2.2154
41.1631,-71.4374,2019-05-22 20:35:32.0,5,13.1779,31.1396,0.4840,-0.0214,2.3026,2.2833
41.1370,-71.4589,2019-05-22 20:45:33.0,5,13.1540,31.0898,0.5203,0.0000,2.3026,2.3049
41.1109,-71.4813,2019-05-22 20:55:33.0,5,13.1971,31.1272,0.4719,-0.0427,2.1221,2.2143
41.0876,-71.5001,2019-05-22 21:05:32.0,5,13.0471,31.0816,0.4719,0.0427,1.9866,2.2117
41.0822,-71.4959,2019-05-22 21:15:33.0,5,13.0053,30.9560,0.4840,0.0000,2.2575,2.2708
41.0652,-71.5099,2019-05-22 21:25:34.0,5,12.7289,30.8059,0.6413,0.0640,2.3478,2.5245
41.0016,-71.1725,2019-05-23 03:56:08.0,5,12.4083,31.8594,0.7381,0.0427,1.9414,2.5520
41.0265,-71.1983,2019-05-23 04:05:34.0,5,12.5530,31.6252,0.7744,-0.0640,2.1672,2.5282
41.0512,-71.2238,2019-05-23 04:15:33.0,5,12.3972,31.6156,0.7260,-0.0427,2.1672,2.3065
41.0751,-71.2494,2019-05-23 04:25:33.0,5,12.4729,31.4224,0.7865,0.0427,2.2575,2.4345
41.0796,-71.2513,2019-05-23 04:35:33.0,5,12.5220,31.4788,0.7260,0.0000,2.5284,2.3432
41.0763,-71.2466,2019-05-23 04:45:33.0,5,12.5139,31.4727,0.7623,-0.0854,2.2575,2.3880
41.0878,-71.2586,2019-05-23 04:55:33.0,5,12.6428,31.2414,0.7744,-0.0427,2.4381,2.3884
41.1119,-71.2837,2019-05-23 05:05:33.0,5,12.4327,31.1107,0.7986,0.1281,2.2575,2.4496
41.1369,-71.3085,2019-05-23 05:15:33.0,5,12.6415,31.1595,0.7381,0.0427,2.0769,2.2818
41.1619,-71.3333,2019-05-23 05:25:33.0,5,12.6967,31.1960,0.7502,0.0427,2.0769,2.2715
41.1877,-71.3567,2019-05-23 05:35:34.0,5,12.7167,31.3083,0.7018,0.0000,2.4381,2.2687
41.2066,-71.3565,2019-05-23 05:45:33.0,5,12.7874,31.3340,0.7139,0.0000,2.4381,2.2885
41.2209,-71.3566,2019-05-23 05:55:34.0,5,12.8600,31.4308,0.7018,0.0000,2.3478,2.2964
41.2351,-71.3569,2019-05-23 06:05:33.0,5,12.8032,31.5024,0.7502,-0.0854,1.9866,2.3591
41.2456,-71.3582,2019-05-23 06:15:33.0,5,12.8397,31.5367,0.7320,0.0427,2.3478,2.3815
41.2582,-71.3627,2019-05-23 06:25:33.0,5,12.8766,31.5389,0.7381,0.0000,2.1672,2.3862
41.2717,-71.3646,2019-05-23 06:35:33.0,5,12.8970,31.5232,0.7260,0.0000,2.2575,2.3608
